TileId,FspId,MinDtf,MaxDtf
6,118,0.01,1.3388367
6,119,0.01,2.710968
6,120,0.01,2.0553894
6,121,0.01,4.9793396
6,122,0.01,2.5321655
6,123,0.01,4.429962
6,124,0.01,1.7270813
6,125,0.01,1.8693237
6,126,0.01,7.8940735
6,127,0.01,3.1534119
6,128,0.01,3.3205261
6,129,0.01,3.6402893
6,130,0.01,3.687378
6,131,0.01,3.6132202
6,132,0.01,3.3124084
6,133,0.01,3.1665955
6,134,0.01,1.7889404
6,135,0.01,3.2373352
6,136,0.01,3.69458
6,137,0.01,3.681427
6,138,0.01,3.818634
6,139,0.01,2.3162842
6,140,0.01,3.3811646
6,141,0.01,2.926422
6,142,0.01,3.5581055
6,143,0.01,4.718231
6,144,0.01,4.2565002
6,145,0.01,4.530731
6,146,0.01,2.9201355
6,147,0.01,4.431183
6,148,0.01,4.5835876
6,149,0.01,14.999237
6,150,0.01,15.0
6,151,0.01,3.3435974
6,152,0.01,4.7582703
6,153,0.01,3.1816406
6,154,0.01,4.56308
6,155,0.01,4.4838867
6,156,0.01,4.3823853
6,157,0.01,4.5478516
6,158,0.01,5.2401733
6,159,0.01,4.125305
6,160,0.01,4.5441895
6,161,0.01,4.52594
6,162,0.01,3.9424133
6,163,0.01,4.6418457
6,164,0.01,4.546417
6,165,0.01,3.9725952
6,166,0.01,3.2977905
6,167,0.01,3.7140808
6,168,0.01,0.8300781
6,169,0.01,1.0503235
6,170,0.01,3.9385986
6,171,0.01,4.3499146
6,172,0.01,4.5241394
6,173,0.01,4.5532837
6,174,0.01,4.6523438
6,175,0.01,1.8862305
6,176,0.01,4.752594
6,177,0.01,7.616791
6,178,0.01,2.1094666
6,179,0.01,1.7348633
6,180,0.01,6.731842
6,181,0.01,5.411499
6,182,0.01,1.843689
6,183,0.01,6.71756
6,184,0.01,3.6658936
6,185,0.01,3.9239807
6,186,0.01,8.778656
6,187,0.01,5.950897
6,188,0.01,0.5263977
6,189,0.01,8.187622
6,190,0.01,2.1306763
6,191,0.01,2.0378113
6,192,0.01,0.8392639
6,193,0.01,14.993866
6,194,0.01,4.2749634
6,195,0.01,4.3110046
6,196,0.01,4.0226746
6,197,0.01,2.1981812
6,198,0.01,4.2041016
6,199,0.01,4.618683
6,200,0.01,3.9647217
6,201,0.01,3.7875366
6,202,0.01,3.984497
6,203,0.01,2.1308289
6,204,0.01,3.9184265
6,205,0.01,5.877228
6,206,0.01,3.5477295
6,207,0.01,3.6265564
6,208,0.01,3.6925354
6,209,0.01,4.2686462
6,210,0.01,3.6725159
6,211,0.01,1.5739746
6,212,0.01,4.148468
6,213,0.01,4.0329895
6,214,0.01,4.3587646
6,215,0.01,4.335907
6,216,0.01,2.542694
6,217,0.01,4.4187317
6,218,0.01,4.229889
6,219,0.01,4.1820374
6,220,0.01,1.7255249
6,221,0.01,3.472351
6,222,0.01,3.3491821
6,223,0.01,3.1070251
6,224,0.01,2.9831848
6,225,0.01,1.5879517
6,226,0.01,3.3907776
6,227,0.01,3.503601
6,228,0.01,3.5314941
6,229,0.01,3.6950684
6,230,0.01,3.7241821
6,231,0.01,3.689392
6,232,0.01,3.4968872
6,233,0.01,3.5831604
6,234,0.01,3.8877869
6,235,0.01,3.955841
6,236,0.01,3.0109863
6,237,0.01,3.8660278
6,238,0.01,2.5414429
6,239,0.01,3.0952454
6,240,0.01,2.623108
6,241,0.01,3.965454
6,242,0.01,2.8550415
6,243,0.01,4.972931
6,244,0.01,4.5215454
6,245,0.01,5.715088
6,246,0.01,14.98822
6,247,0.01,2.8124084
6,248,0.01,7.2764893
6,249,0.01,14.8689575
6,250,0.01,14.977203
6,251,0.01,8.192078
6,252,0.01,10.504272
6,253,0.01,11.569672
6,254,0.01,12.11557
6,255,0.01,2.698578
6,256,0.01,14.87207
6,257,0.01,14.545044
6,258,0.01,14.912567
6,259,0.01,14.535492
6,260,0.01,14.690338
6,261,0.01,14.269867
6,262,0.01,2.766693
6,263,0.01,13.149231
6,264,0.01,14.442535
6,265,0.01,14.619629
6,266,0.01,2.663391
6,267,0.01,7.4236145
6,268,0.01,14.976532
6,269,0.01,13.582642
6,270,0.01,1.7321777
6,271,0.01,2.6457825
6,272,0.01,14.912567
6,273,0.01,14.450256
6,274,0.01,14.9644165
6,275,0.01,0.01
6,276,0.01,0.9677429
6,277,0.01,4.972168
6,278,0.01,4.056183
6,279,0.01,5.8855286
6,280,0.01,7.3972473
6,281,0.01,7.4026794
6,282,0.01,2.790741
6,283,0.01,9.977661
6,284,0.01,13.476715
6,285,0.01,7.9467773
6,286,0.01,13.07132
6,287,0.01,2.882843
6,288,0.01,11.51767
6,289,0.01,1.913971
6,290,0.01,14.279633
6,291,0.01,12.527863
6,292,0.01,10.954498
6,293,0.01,2.5100403
6,294,0.01,14.356964
6,295,0.01,12.17514
6,296,0.01,14.485046
6,297,0.01,3.2982178
6,298,0.01,14.22052
6,299,0.01,4.0379333
6,300,0.01,14.63855
6,301,0.01,4.173065
6,302,0.01,12.7282715
6,303,0.01,14.668213
6,304,0.01,14.725616
6,305,0.01,12.502045
6,306,0.01,3.8860474
6,307,0.01,12.7283325
6,308,0.01,3.6747742
6,309,0.01,14.92157
6,310,0.01,3.9657898
6,311,0.01,4.0900574
6,312,0.01,3.6946716
6,313,0.01,8.474731
6,314,0.01,14.243835
6,315,0.01,14.765137
6,316,0.01,14.320038
6,317,0.01,11.544678
6,318,0.01,3.7312622
6,319,0.01,12.239166
6,320,0.01,13.380524
6,321,0.01,3.3051453
6,322,0.01,9.90802
6,323,0.01,12.66629
6,324,0.01,12.462738
6,325,0.01,12.437958
6,326,0.01,14.045349
6,327,0.01,13.554321
6,328,0.01,14.798035
6,329,0.01,6.153412
6,330,0.01,5.8088684
6,331,0.01,3.8539124
6,332,0.01,14.989929
6,333,0.01,3.512146
6,334,0.01,3.0153809
6,335,0.01,3.1965942
6,336,0.01,3.4384155
6,337,0.01,2.907074
6,338,0.01,3.2675781
6,339,0.01,3.2537537
6,340,0.01,2.7947388
6,341,0.01,0.01
6,342,0.01,2.7138062
6,343,0.01,3.6132812
6,344,0.01,3.3733215
6,345,0.01,14.987946
6,346,0.01,4.9814453
6,347,0.01,1.7518921
6,348,0.01,14.999481
6,349,0.01,14.999908
6,350,0.01,4.2723083
6,351,0.01,4.333679
6,352,0.01,5.158539
6,353,0.01,4.9907227
6,354,0.01,2.853363
6,355,0.01,3.7115784
6,356,0.01,4.512909
6,357,0.01,3.8022156
6,358,0.01,5.62146
6,359,0.01,5.8523254
6,360,0.01,2.6311035
6,361,0.01,5.225647
6,362,0.01,1.9510193
6,363,0.01,3.6249084
6,364,0.01,5.488312
6,365,0.01,5.6096497
6,366,0.01,0.01
6,367,0.01,2.9577332
6,368,0.01,1.6171265
6,369,0.01,6.95459
6,370,0.01,4.9053345
6,371,0.01,6.3008423
6,372,0.01,2.9092407
6,373,0.01,6.820099
6,374,0.01,5.568451
6,375,0.01,2.957428
6,376,0.01,2.8324585
6,377,0.01,1.2516785
6,378,0.01,4.9031677
6,379,0.01,5.83374
6,380,0.01,4.9981384
6,381,0.01,4.770874
6,382,0.01,2.1940613
6,383,0.01,4.3399353
6,384,0.01,4.3081055
6,385,0.01,4.250946
6,386,0.01,4.1354065
6,387,0.01,4.6291504
6,388,0.01,4.8945312
6,389,0.01,3.9290466
6,390,0.01,4.889801
6,391,0.01,3.5397644
6,392,0.01,4.014221
6,393,0.01,14.994568
6,394,0.01,1.7001038
6,395,0.01,2.7039795
6,396,0.01,14.804504
6,397,0.01,14.903839
6,398,0.01,13.510162
6,399,0.01,0.01
6,400,0.01,12.38205
6,401,0.01,13.90271
6,402,0.01,13.020935
