FspId,FspX,FspY,SegId,FilledElev,DsDist,StrOrd
191,-60778.2057939356,1799637.9445651,3,338.434051513672,29081.374439273517,3
192,-60768.2057939356,1799637.9445651,3,338.434051513672,29071.374439273517,3
193,-60758.2057939356,1799637.9445651,3,338.434051513672,29061.374439273517,3
194,-60748.2057939356,1799637.9445651,3,338.434051513672,29051.374439273517,3
195,-60738.2057939356,1799627.9445651,3,338.434051513672,29037.232303649787,3
196,-60728.2057939356,1799627.9445651,3,338.434051513672,29027.232303649787,3
197,-60718.2057939356,1799627.9445651,3,338.434051513672,29017.232303649787,3
198,-60708.2057939356,1799617.9445651,3,338.434051513672,29003.090168026058,3
199,-60698.2057939356,1799617.9445651,3,338.255676269531,28993.090168026058,3
200,-60688.2057939356,1799617.9445651,3,338.122589111328,28983.090168026058,3
201,-60678.2057939356,1799617.9445651,3,338.086212158203,28973.090168026058,3
202,-60668.2057939356,1799617.9445651,3,338.086212158203,28963.090168026058,3
203,-60658.2057939356,1799607.9445651,3,338.086212158203,28948.948032402324,3
204,-60648.2057939356,1799607.9445651,3,338.012481689453,28938.948032402324,3
205,-60638.2057939356,1799597.9445651,3,338.012481689453,28924.805896778595,3
206,-60628.2057939356,1799587.9445651,3,338.012481689453,28910.66376115486,3
207,-60628.2057939356,1799577.9445651,3,338.012481689453,28900.66376115486,3
208,-60628.2057939356,1799567.9445651,3,338.012481689453,28890.66376115486,3
209,-60628.2057939356,1799557.9445651,3,338.012481689453,28880.66376115486,3
210,-60638.2057939356,1799547.9445651,3,338.012481689453,28866.52162553113,3
211,-60638.2057939356,1799537.9445651,3,337.933685302734,28856.52162553113,3
212,-60638.2057939356,1799527.9445651,3,337.933685302734,28846.52162553113,3
213,-60638.2057939356,1799517.9445651,3,337.933685302734,28836.52162553113,3
214,-60638.2057939356,1799507.9445651,3,337.933685302734,28826.52162553113,3
215,-60648.2057939356,1799497.9445651,3,337.933685302734,28812.379489907402,3
216,-60648.2057939356,1799487.9445651,3,337.933685302734,28802.379489907402,3
217,-60648.2057939356,1799477.9445651,3,337.933685302734,28792.379489907402,3
218,-60658.2057939356,1799467.9445651,3,337.933685302734,28778.23735428367,3
219,-60658.2057939356,1799457.9445651,3,337.933685302734,28768.23735428367,3
220,-60658.2057939356,1799447.9445651,3,337.657470703125,28758.23735428367,3
221,-60658.2057939356,1799437.9445651,3,337.647003173828,28748.23735428367,3
222,-60668.2057939356,1799427.9445651,3,337.647003173828,28734.09521865994,3
223,-60668.2057939356,1799417.9445651,3,337.647003173828,28724.09521865994,3
224,-60678.2057939356,1799407.9445651,3,337.647003173828,28709.953083036205,3
