FspId,FspX,FspY,SegId,FilledElev
1373,-54248.2057939356,1795777.9445651,10,317.759155273438
1374,-54248.2057939356,1795767.9445651,10,317.759155273438
1375,-54248.2057939356,1795757.9445651,10,317.759155273438
1376,-54248.2057939356,1795747.9445651,10,317.759155273438
1377,-54248.2057939356,1795737.9445651,10,317.759155273438
1378,-54258.2057939356,1795727.9445651,10,317.759155273438
1379,-54258.2057939356,1795717.9445651,10,317.759155273438
1380,-54268.2057939356,1795707.9445651,10,317.759155273438
1381,-54268.2057939356,1795697.9445651,10,317.759155273438
1382,-54278.2057939356,1795687.9445651,10,317.759155273438
1383,-54278.2057939356,1795677.9445651,10,317.759155273438
1384,-54288.2057939356,1795667.9445651,10,317.759155273438
1385,-54298.2057939356,1795657.9445651,10,317.759155273438
1386,-54308.2057939356,1795647.9445651,10,317.759155273438
1387,-54318.2057939356,1795637.9445651,10,317.759155273438
1388,-54328.2057939356,1795637.9445651,10,317.759155273438
1389,-54338.2057939356,1795627.9445651,10,317.759155273438
1390,-54348.2057939356,1795627.9445651,10,317.759155273438
1391,-54358.2057939356,1795627.9445651,10,317.759155273438
1392,-54368.2057939356,1795627.9445651,10,317.759155273438
1393,-54378.2057939356,1795617.9445651,10,317.759155273438
1394,-54388.2057939356,1795617.9445651,10,317.566619873047
1395,-54398.2057939356,1795617.9445651,10,317.566619873047
1396,-54408.2057939356,1795617.9445651,10,317.566619873047
1397,-54418.2057939356,1795617.9445651,10,317.566619873047
1398,-54428.2057939356,1795607.9445651,10,317.564697265625
1399,-54438.2057939356,1795607.9445651,10,317.564697265625
1400,-54448.2057939356,1795607.9445651,10,317.564697265625
1401,-54458.2057939356,1795607.9445651,10,317.564697265625
1402,-54468.2057939356,1795607.9445651,10,317.564697265625
1403,-54478.2057939356,1795607.9445651,10,317.564697265625
1404,-54488.2057939356,1795607.9445651,10,317.564697265625
1405,-54498.2057939356,1795607.9445651,10,317.564697265625
1406,-54508.2057939356,1795607.9445651,10,317.564697265625
1407,-54518.2057939356,1795597.9445651,10,317.564697265625
1408,-54528.2057939356,1795597.9445651,10,317.564697265625
1409,-54538.2057939356,1795587.9445651,10,317.564697265625
1410,-54548.2057939356,1795577.9445651,10,317.564697265625
1411,-54548.2057939356,1795567.9445651,10,317.564697265625
1412,-54548.2057939356,1795557.9445651,10,317.564697265625
1413,-54558.2057939356,1795547.9445651,10,317.564697265625
1414,-54558.2057939356,1795537.9445651,10,317.564697265625
1415,-54558.2057939356,1795527.9445651,10,317.564697265625
1416,-54558.2057939356,1795517.9445651,10,317.564697265625
1417,-54558.2057939356,1795507.9445651,10,317.564697265625
1418,-54548.2057939356,1795497.9445651,10,317.498901367188
1419,-54548.2057939356,1795487.9445651,10,317.498901367188
1420,-54538.2057939356,1795477.9445651,10,317.498901367188
1421,-54528.2057939356,1795477.9445651,10,317.233489990234
1422,-54518.2057939356,1795467.9445651,10,317.172210693359
1423,-54508.2057939356,1795457.9445651,10,317.172210693359
1424,-54498.2057939356,1795457.9445651,10,317.172210693359
1425,-54488.2057939356,1795447.9445651,10,317.112579345703
1426,-54478.2057939356,1795447.9445651,10,317.082458496094
1427,-54468.2057939356,1795447.9445651,10,316.962371826172
1428,-54458.2057939356,1795447.9445651,10,316.820831298828
1429,-54448.2057939356,1795447.9445651,10,316.814605712891
1430,-54438.2057939356,1795447.9445651,10,316.814605712891
1431,-54428.2057939356,1795447.9445651,10,316.814605712891
1432,-54418.2057939356,1795447.9445651,10,316.814605712891
1433,-54408.2057939356,1795447.9445651,10,316.814605712891
1434,-54398.2057939356,1795437.9445651,10,316.568634033203
1435,-54388.2057939356,1795437.9445651,10,316.568634033203
1436,-54378.2057939356,1795437.9445651,10,316.568634033203
